year,ruler_person_id,ruler_name_ru,ruler_age,ruler_political_age,ruler_elite_age,ruler_ruling_circle_age,ruler_office_age,core_elite_count,core_mean_age,core_median_age,core_weighted_mean_age,core_mean_political_age,core_mean_elite_age,core_share_60_plus,core_share_70_plus,core_age_std,renewal_5y,events_count,max_event_severity,event_types,event_names,elite_initiated_events_count,elite_initiated_max_severity,decision_domains,initiator_groups,high_confidence_events_count
1945,p_truman_harry,,61.15,23.5,10.49,0.22,0.22,3,58.38,61.15,58.56,19.17,12.14,0.667,0.0,5.65,0.333,3,5,"international_institution, war_decision",United Nations Charter signed in San Francisco; Atomic bombing of Hiroshima; Atomic bombing of Nagasaki,3,5,"foreign_policy, war","Truman administration, Truman administration / Senate later ratification",3
1946,p_truman_harry,,62.15,24.5,11.49,1.22,1.22,4,58.64,59.3,58.82,15.25,9.86,0.5,0.0,5.06,0.25,0,0,,,0,0,,,0
1947,p_truman_harry,,63.14,25.5,12.49,2.22,2.22,6,59.2,60.29,59.43,18.48,7.69,0.5,0.0,6.3,0.5,3,5,"foreign_policy_doctrine, labor_policy, security_state_institution",Truman Doctrine announced; Taft-Hartley Act enacted over veto; National Security Act signed,3,5,"domestic_policy, foreign_policy, national_security","Congress, Executive/State Department, Truman administration / Congress",3
1948,p_truman_harry,,64.15,26.5,13.49,3.22,3.22,6,60.2,61.3,60.44,19.48,8.69,0.5,0.0,6.3,0.5,2,4,"crisis_response, economic_foreign_aid",Economic Cooperation Act / Marshall Plan signed; Berlin Airlift begins,2,4,"foreign_policy, foreign_policy_economy","Executive/State Department/Congress, Truman administration",2
1949,p_truman_harry,,65.15,27.5,14.49,4.22,4.22,7,60.93,59.44,60.99,13.21,8.27,0.429,0.143,6.73,0.571,1,5,alliance_creation,North Atlantic Treaty signed,1,5,security_alliance,Executive/State Department,1
1950,p_truman_harry,,66.15,28.5,15.49,5.22,5.22,7,61.93,60.44,61.99,14.21,9.27,0.571,0.143,6.74,0.571,1,5,war_intervention,U.S. military intervention in Korean War,1,5,war,Truman administration,1
1951,p_truman_harry,,67.14,29.5,16.49,6.22,6.22,8,60.83,59.83,60.88,12.99,8.59,0.5,0.125,8.62,0.375,0,0,,,0,0,,,0
1952,p_truman_harry,,68.15,30.5,17.49,7.22,7.22,8,61.83,60.83,61.88,14.0,9.59,0.5,0.25,8.62,0.375,0,0,,,0,0,,,0
1953,p_eisenhower_dwight,,62.71,38.05,9.07,0.44,0.44,8,58.59,61.47,58.59,23.57,8.34,0.625,0.125,9.54,0.5,1,5,covert_action,Iran coup / Operation Ajax,1,5,covert_action,CIA / Eisenhower administration,1
1954,p_eisenhower_dwight,,63.71,39.05,10.07,1.44,1.44,8,59.44,62.25,59.45,23.69,8.43,0.625,0.125,9.48,0.625,2,5,"covert_action, judicial_decision",Brown v. Board of Education decision; Guatemala coup / Operation PBSUCCESS,1,5,"covert_action, domestic_rights","CIA / Eisenhower administration, Supreme Court/civil rights litigation",2
